"name","code","price","measurement","use_for","years_of_circulation","category","space","location","forsalewhat","introduction","score","suggest","location_advantage","climate","related_support","land","status"
"鹰潭余江县1000亩水田出租非常适合种植芡实","土地编码：106877 更新时间：2018-10-21 20:39:54 17 次查看","800","元/亩/年","耕地|水田","10 年","出租","1000 亩","江西/鹰潭/余江县","水稻 莲藕 稻田养虾","该地块介绍：一、该地块非常平整，非常适合种植芡实；2、该地块水电路三通，交通方便；三、土质肥沃，土层深厚","88.79","经济作物种植、水稻种植、休闲农业","一般","优","一般","优","优"
"鹰潭余江县60亩水田出租","土地编码：102093 更新时间：2018-10-21 20:39:53 104 次查看","400","元/亩/年","耕地|水田","10 年","出租","60 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块具有以下优点：一、交通便利，新建国道就在该地块边上，目前已完成征地工作，且现有交通道路可直接开到地块旁；二、该地块水源丰富，位于两座小（二）型水库坝底，常年不缺水；三、目前有电线可直接拉到田头；四、该地块适合发展水生蔬菜（莲藕、芡实）等的种植和稻虾共养、稻鳖共养等模式。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","81.46","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县 360亩 有林地 转让","土地编码：103680 更新时间：2018-10-21 20:39:53 159 次查看","1100","万元","林地|有林地","30 年","转让","360 亩","江西/鹰潭/余江县","光伏用地 松树 杉树","该土地位于江西鹰潭，土地性质为林地，面积：360亩，价格为：1100万元，可流转30年；该地块情况介绍：一、土质好，为红壤土，土层深厚，土壤疏松；二、交通较为便利；三、该地主将地上所有林木及其他附属物一起打包1100万转让；五、位置较好，听说规划中的鹰潭机场就在该地或不远处。","84.59","经济作物种植、林木种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县96平米城镇住宅转让","土地编码：103829 更新时间：2018-10-21 20:39:53 39 次查看","63","万元","商业及住宅|城镇住宅","60 年","转让","0.14 亩","江西/鹰潭/余江县","","1、该住宅地地处水稻原种场毗邻320国道，交通便利。2、基础设施完善，水电方面即用即通。网络光缆等可即装。3、阳光充足，日照光线条件好，一年四季都有阳光。4、交通便利，距离余江区近在咫尺。5、地面已铺瓷砖，省时省心。6、房屋侧面有大门，一层可用做店铺。","","","","","","",""
"鹰潭  余江县 120平方 城镇住宅 转让","土地编码：103830 更新时间：2018-10-21 20:39:53 47 次查看","38","万元","商业及住宅|城镇住宅","60 年","转让","0.18 亩","江西/鹰潭/余江县","","1、该住宅地地处水稻原种场毗邻320国道，交通便利。2、基础设施完善，水电方面即用即通。网络光缆等可即装。3、房屋风景绚丽，阳光充足，日照光线条件好。4、交通便利，距离余江区近在咫尺。5、房屋有车库，停放车辆方便。6、主卧有独立卫生间","","","","","","",""
"鹰潭余江县100亩旱地出租","土地编码：103952 更新时间：2018-10-21 20:39:53 52 次查看","400","元/亩/年","耕地|旱地","37 年","出租","100 亩","江西/鹰潭/余江县","秋葵 光伏用地 花生 红薯 马铃薯 山药","该地块介绍：一、该地块紧靠320国道，交通便利，可直接通半挂车；二、土质为典型的红壤土，土质疏松，土层深厚；三、土地为缓坡地，坡度小，利于排水；四、尤其适合开展旱生作物、果树的种植；五、前茬作物为木薯；六、部分土地被荒1年，存在部分小杂草，可轻易清除；七、附近有居民住宅，可配套租下。","81.36","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县2400平米厂房转让","土地编码：104643 更新时间：2018-10-21 20:39:53 34 次查看","190","万元","工矿仓储|厂房","50 年","转让","2400 平米","江西/鹰潭/余江县","","该厂房介绍：一、该厂房建筑面积2400平方米，共有6本房产证，可贷款；二、位置较好，且在可预期的未来极有拆迁可能；三、厂房相对来说有一定年限，但是红石建设的厂房很坚固，结构没有任何问题；四、产权明晰，目前厂房一房难求，2400平方，190万超值。","","","","","","",""
"鹰潭余江县600亩水库转让","土地编码：105423 更新时间：2018-10-21 20:39:53 80 次查看","54","万元","水域|水库","6 年","转让","600 亩","江西/鹰潭/余江县","","该水库介绍：一、该水库位于余江县境内，有两条水泥路可通往该水库，交通方便；二、配属设施完善，配有380v电源和工作用房，可直接拎包经营；三、鉴于目前全省抓环保工作，目前该水库正在抽干水库水源，待明年开始正常蓄水；四、该水库承包关系明确，可随时签订承包合同并进行鉴证备案。","82.42","水产养殖、休闲农业、生态农场","一般","优","良","良","一般"
"鹰潭龙虎山风景区2200平米商业住宅转让","土地编码：103358 更新时间：2018-10-21 20:39:52 69 次查看","1500","万元","商业及住宅|商业用地","40 年","转让","2200 平米","江西/鹰潭/月湖区","","该处住宅介绍：一、地理位置绝佳，处于5A级国家风景区龙虎山最佳的位置，人流量大，开展商业活动潜力巨大；二、价格优惠；三、可开发为酒店、餐饮、超市等。四、周边配套完善，交通方便。","","","","","","",""
"鹰潭余江县280亩水库出租","土地编码：102769 更新时间：2018-10-21 20:39:26 315 次查看","220","元/亩/年","水域|水库","10 年","出租","280 亩","江西/鹰潭/余江县","","该水库情况介绍如下：一、在建设新国道/省道等离该水库只有几百米，交通相对便利；二、水源充足，常年保持足够的水面积；三、水库边有林地60余亩果园可谈；四、风险，因余江区对水库环保提出新要求，要求水库保持三类水质，因此仅可实行人放天养，不能投喂饲料，尤其是猪粪。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","80.03","水产养殖、休闲农业、生态农场","一般","优","良","一般","一般"
"鹰潭余江县108平米城镇住宅转让","土地编码：103516 更新时间：2018-10-21 20:39:26 70 次查看","35","万元","商业及住宅|城镇住宅","60 年","转让","0.16 亩","江西/鹰潭/余江县","","1、该住宅地地处水稻原种场毗邻320国道，交通便利。2、基础设施完善，水电方面即用即通。网络光缆等可即装。3、房屋风景绚丽，阳光充足，日照光线条件好。4、交通便利，距离余江区近在咫尺。5、房屋有车库，停放车辆方便。","","","","","","",""
"鹰潭余江县2400平米厂房出租","土地编码：104647 更新时间：2018-10-21 20:39:26 34 次查看","7","元/平米/月","工矿仓储|厂房","50 年","出租","2400 平米","江西/鹰潭/余江县","","该厂房介绍：该厂房为今年新拍卖下的工业用地，厂房正在建设中，年底可出租，价格为7元/m /月;可通半挂车。","","","","","","",""
"鹰潭1000亩水库出租","土地编码：105268 更新时间：2018-10-21 20:39:26 153 次查看","150","元/亩/年","水域|水库","10 年","出租","1000 亩","江西/鹰潭/余江县","","该水库介绍：一、该水库位置绝佳，左靠国道，右靠鹰潭最佳农业旅游项目，游人如织；二、该水库的储水量高，满储时平均水深可达4-5米；三、目前全县抓环保比较严，目前水面养殖禁止投喂饲料，只能实行人放天养。","85.42","水产养殖、休闲农业、生态农场","一般","优","良","优","一般"
"鹰潭余江县135亩水田出租适合莲藕等","土地编码：106811 更新时间：2018-10-21 20:39:26 10 次查看","700","元/亩/年","耕地|水田","10 年","出租","135 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块介绍：该地块地势平坦，为余江县非常优质水稻田，很早前就已进行了园田规划，整齐；二、该地块土质肥沃，土层深厚，排水渠和灌溉渠完备；三、水、路、电三通，水泥路直接到田间地头；四、地理位置好，靠近余江县城，适合种植莲藕等需水量多一点的经济作物。该地块同另两块700元/亩地块，可联合可分割租赁","81.5","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县390亩水田出租","土地编码：106813 更新时间：2018-10-21 20:39:26 14 次查看","700","元/亩/年","耕地|水田","10 年","出租","390 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块介绍：该地块地势平坦，为余江县非常优质水稻田，很早前就已进行了园田规划，整齐；二、该地块土质肥沃，土层深厚，排水渠和灌溉渠完备；三、水、路、电三通，水泥路直接到田间地头；四、地理位置好，靠近余江县城，适合种植蔬菜、水稻、稻虾共作、莲藕等各类种植，该地块同另两块700元/亩地块，可联合可分割租赁","83.41","经济作物种植、水稻种植、休闲农业","一般","优","一般","良","优"
"鹰潭余江县200亩水浇地出租","土地编码：102771 更新时间：2018-10-21 20:39:25 55 次查看","500","元/亩/年","耕地|水浇地","10 年","出租","200 亩","江西/鹰潭/余江县","秋葵 玉米 棉花 花生 红薯 西瓜 绿豆 芝麻","该地块情况介绍：一、该地土地平整，规则，每个地块面积大小基本一致，刚做完田园规划项目；二、交通便利，距离省道、国道仅几百米；三、水源充足，沟渠配套，机械化程度高；四、民风淳朴，以后相处较和谐；五、旁边另有700余亩面积可谈，集中连片，均做过园田规划；6、该地可发展蔬菜、果树、中药材等产业种植。本中心有工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","82.24","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县30亩水田出租","土地编码：103251 更新时间：2018-10-21 20:39:25 61 次查看","500","元/亩/年","耕地|水田","37 年","出租","30 亩","江西/鹰潭/余江县","水稻 稻田养虾","该地块介绍：一、土地平坦平整，做过园田规划，均为四四方方的格田；二、是交通便利，机耕道宽阔，后四轮车可直接开到田间地头，同时紧靠320国道和沪昆高速；三、民风淳朴，以后相处较和谐；四、该地可发展蔬菜、果树、中药材和种养结合等产业项目；五、另该村还有几百亩平整水田可谈。六、本处田块灌溉需要采用提灌。本中心有工作人员为专业农业科技人员，可提供周到的农业技术指导与支持工作，全力协助您做好土地规划与种植生产工作。同时，本中心在鹰潭地区拥有较大资源，可按照客户需求专题寻找相应资源。","79.96","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县 300亩 有林地 出租","土地编码：103384 更新时间：2018-10-21 20:39:25 987 次查看","300","元/亩/年","林地|有林地","50 年","出租","300 亩","江西/鹰潭/余江县","鸡 竹 黄牛 杉树","300亩人造林.山上种了沙树，松树，香樟，2008年种的，山上有牛舍一间，占地800个平方，养牛100多头。","82.79","经济作物种植、林木种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县5亩蔬菜大棚出租","土地编码：104354 更新时间：2018-10-21 20:39:25 74 次查看","5","万元","耕地|其它耕地","10 年","转让","5 亩","江西/鹰潭/余江县","","","81.03","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县1600平米厂房转让","土地编码：104645 更新时间：2018-10-21 20:39:25 44 次查看","150","万元","工矿仓储|厂房","25 年","转让","1600 平米","江西/鹰潭/余江县","","该厂房介绍：一、正如照片拍摄所见，该厂房相对来说较老且简单，可是该地块地价较高，旁边一个1800多平工业地块拍卖价120万；二、该厂房目前用于家具生产；三、该地靠近既靠近工业园区又靠近县城，有可能被征收；四、该厂房有国有土地出让手续和建设许可证，未办理房产证，但办理不存在问题；五，该厂可过半挂车，但只能倒出来。另本中心有其他厂房资源未上平台，可咨询。","","","","","","",""
"鹰潭余江县500亩优质水田出租","土地编码：105065 更新时间：2018-10-21 20:39:25 33 次查看","650","元/亩/年","耕地|水田","9 年","出租","500 亩","江西/鹰潭/余江县","水稻 莲藕 稻田养虾","该地块介绍：该地块位于余江县重点打造的乡村、农业旅游区，且做过园田规划，地势平坦，有机质丰富，排灌方便。","84.76","经济作物种植、水稻种植、休闲农业","一般","优","一般","良","优"
"鹰潭余江县825亩水田出租","土地编码：106814 更新时间：2018-10-21 20:39:25 18 次查看","700","元/亩/年","耕地|水田","10 年","出租","825 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块介绍：该地块地势平坦，为余江县非常优质水稻田，很早前就已进行了园田规划，整齐；二、该地块土质肥沃，土层深厚，排水渠和灌溉渠完备；三、水、路、电三通，水泥路直接到田间地头；四、地理位置好，靠近余江县城，适合种植绝大多数作物。该地块同另两块700元/亩地块，可联合可分割租赁","86.68","经济作物种植、水稻种植、休闲农业","一般","优","一般","优","优"
"鹰潭余江县140平城镇住宅出售","土地编码：103249 更新时间：2018-10-21 20:39:24 126 次查看","85","万元","商业及住宅|城镇住宅","70 年","转让","0.2 亩","江西/鹰潭/余江县","","","","","","","","",""
"鹰潭龙虎山风景区2200平米商业住宅出租","土地编码：103252 更新时间：2018-10-21 20:39:24 137 次查看","150","元/平米/年","商业及住宅|商业用地","40 年","出租","2200 平米","江西/鹰潭/月湖区","","\xa0 \xa0 \xa0 该处住宅介绍：一、地理位置绝佳，处于5A级国家风景区龙虎山最佳的位置，人流量大，开展商业活动潜力巨大；二、价格优惠；三、可开发为酒店、餐饮、超市等。四、周边配套完善，交通方便。","","","","","","",""
"鹰潭余江县120亩旱地出租","土地编码：103951 更新时间：2018-10-21 20:39:24 53 次查看","450","元/亩/年","耕地|旱地","30 年","出租","120 亩","江西/鹰潭/余江县","西瓜 山药 甜瓜","该地块情况介绍：土质好，交通方便，排灌方便、土层深厚，可开展各类种植，包括山药、中药材、果树和各类瓜果。前茬为西瓜","82.81","经济作物种植、粮油种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县200亩水田出租","土地编码：104648 更新时间：2018-10-21 20:39:24 52 次查看","650","元/亩/年","耕地|水田","5 年","出租","200 亩","江西/鹰潭/余江县","水稻 稻田养虾","该地块介绍:一、该地块已经由村民租赁到种植户名下，租期为30年，该种植户可将其中200亩转租给他人，租金为550斤水稻折价，这也是其与村民签的价格；二、该地块做过园田规划，地块平整，排灌方便；三、该地块可种植水稻、中药材、蔬菜、红薯等；四、该地块周边还有村民所有的土地169亩可谈。本中心为专业的土地流转中心，有大量的土地资源，且有专职农业技术人员，可知道农业生产","82.39","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县169亩水田出租","土地编码：104650 更新时间：2018-10-21 20:39:24 36 次查看","600","元/亩/年","耕地|水田","30 年","出租","169 亩","江西/鹰潭/余江县","水稻 莲藕 茭白 稻田养虾","该地块介绍：一、地势略有起伏，但绝对不影响机械化生产；二、共分两个地块；三、和村民签订的价格为500斤水稻折合价；四、适合开展水稻、蔬菜、中药材、果树等种植。五、本中心有其他地源，欢迎咨询，且本中心有专业农业技术人员，可提供种植项目咨询。","81.35","经济作物种植、水稻种植、休闲农业","一般","优","一般","一般","优"
"鹰潭余江县1150亩水浇地出租","土地编码：106356 更新时间：2018-10-21 20:39:24 57 次查看","500","元/亩/年","耕地|水浇地","20 年","出租","1150 亩","江西/鹰潭/余江县","秋葵 玉米 花生 黄豆 红薯 西瓜 绿豆 甘蔗 马铃薯 甜瓜","该地块介绍：该地块2012年做过土地整理，地块较为标准，土地疏松；二、该地块排灌方便，不会积水，适宜种植各种旱作经济作物；三、交通较为方便，各种农用机械可直接到田间地头；四、无论多旱都不会影响到正常的农业生产，该靠近河流，备有提灌站一座，灌溉水井若干，可保证全年农业生产用水；五、该地块适合发展西瓜、甜瓜、花生、红薯、马铃薯、等作物的生产","87.81","经济作物种植、粮油种植、休闲农业","一般","优","一般","优","优"
"鹰潭余江县480亩水田出租适合莲藕、芡实","土地编码：106405 更新时间：2018-10-21 20:39:24 23 次查看","550","元/亩/年","耕地|水田","20 年","出租","480 亩","江西/鹰潭/余江县","水稻 莲藕 稻田养虾","该地块介绍：一、该地块交通便利，水泥路直接修到田间地头；二、该地块相对较低，较适合莲藕、芡实的种植；三、该地块2012年做过土地整理，田块四四方方，便于机械化。","83.69","经济作物种植、水稻种植、休闲农业","一般","优","一般","良","优"
"内江资中县100亩核桃园低价转让","土地编码:T560220 更新时间:2018-10-21 20:35:54 98 次查看","","","","","","","四川/内江/资中县","","该土地位于四川内江，土地性质为园地，种植核桃树，面积：100亩，价格为：40万元，可流转40年；","81.86","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
"转让工业用地10亩","土地编码：62473 更新时间：2018-10-21 20:34:55 1818 次查看","330","万元","工矿仓储|工业用地","45 年","转让","10 亩","江苏/镇江/句容市","","45年产权，312国道路边.证件齐全，","","","","","","",""
"镇江句容市 60亩 其它园地 转让","土地编码：85081 更新时间：2018-10-21 20:34:55 86 次查看","500","万元","园地|其它园地","28 年","转让","60 亩","江苏/镇江/句容市","","农庄园内野生鱼虾，菜园果园，小包大包棋牌室都齐全，属于现代人生活度假的好地方，与自然零接触，天然氧吧，有意者与我联系，随时可以去实地考察。","77.35","经济作物种植、林木种植、休闲农业","良","良","一般","一般","一般"
"句容市104国道附近，400亩水田，200亩旱地，","土地编码：86394 更新时间：2018-10-21 20:34:55 92 次查看","800","元/亩/年","耕地|水田","10 年","出租","600 亩","江苏/镇江/句容市","","","82.19","经济作物种植、水稻种植、休闲农业","良","良","一般","良","一般"
"句容市312国道附近1000平米厂房。外带400平米住房办公室，一年8万","土地编码：65906 更新时间：2018-10-21 20:34:54 266 次查看","6.6","元/平米/月","工矿仓储|厂房","10 年","出租","1000 平米","江苏/镇江/句容市","","1，国道边的，交通方便 2，院子大，周围可以停放大车","","","","","","",""
"镇江  句容市 200亩 畜牧养殖用地 合作","土地编码：67660 更新时间：2018-10-21 20:34:54 606 次查看","面议","","养殖用地|畜牧养殖用地","30 年","合作","200 亩","江苏/镇江/句容市","鸡","句容市现代化养殖场1，占地200亩，环境优美，远离村庄2，设施先进，自动化处理设备3，加装了一个变压器4，一个鸡舍面积1000平米左右。5，还有一个库房","83.49","牲畜饲养、休闲农业、生态农场","良","良","一般","一般","优"
"通辽科尔沁区110亩畜牧养殖用地转让","土地编码:T535586 更新时间:2018-10-21 20:14:55 905 次查看","","","","","","","内蒙古/通辽/科尔沁区","猪 鸡 鸭 鹅 山羊 奶牛 黄牛","该土地位于内蒙古通辽，土地性质为养殖用地，面积：110亩，，可流转25年；内设养殖房，办公住宅房，锅炉房，院周围墙，","77.52","牲畜饲养、休闲农业、生态农场","良","良","一般","一般","优"
"鄂州鄂城区 100亩 旱地 出租","土地编码:T562431 更新时间:2018-10-21 20:08:57 4 次查看","","","","","","","湖北/鄂州/鄂城区","甜瓜","目前水电路均通，可分散出租，开休闲农业和果树采摘，目前有两家入住","77.7","经济作物种植、粮油种植、休闲农业","良","优","一般","一般","一般"
"鄂州鄂城区 100亩 旱地 出租","土地编码:T546161 更新时间:2018-10-21 20:08:54 365 次查看","","","","","","","湖北/鄂州/鄂城区","","目前，地块水、电、路、网、有线电视都通了，建有300平方的房子，还有两口小鱼塘。现在准备养老，把多余的地租出去，自已只留20亩养老。","80.5","经济作物种植、粮油种植、休闲农业","良","优","一般","一般","优"
"通辽扎鲁特旗 200亩 综合养殖用地 出租","土地编码:T560865 更新时间:2018-10-21 19:58:30 68 次查看","","","","","","","内蒙古/通辽/扎鲁特旗","","该土地位于内蒙古通辽，土地性质为养殖用地，面积：200亩，价格为：75元/亩/年，可流转3年；也可一年一租，年限多也可以，交通便利，草原茂密，旁边有林，有井两眼，临时简易房，可拉电，是养大鹅，溜达鸡的好地方！","76.8","牲畜饲养、休闲农业、生态农场","良","良","一般","一般","一般"
"通州区120亩龙虾养殖塘出租","土地编码：73096 更新时间：2018-10-21 19:48:53 750 次查看","面议","","养殖用地|水产养殖用地","5 年","出租","120 亩","江苏/南通","对虾 龙虾","120亩标准龙虾塘出租，10口标准塘，全套设施如水泵，增氧机，电，空调，冰箱，淋浴，种虾塘，欢迎来电咨询，实地考察","81.71","水产养殖、牲畜饲养、休闲农业","良","优","良","一般","一般"
"通州3000亩鱼塘出租","土地编码：101417 更新时间：2018-10-21 19:40:55 421 次查看","980","元/亩/年","养殖用地|水产养殖用地","5 年","出租","3000 亩","江苏/南通/通州区","鱼 河蟹 龙虾","3000亩鱼塘分批出租，第一批1000亩11月份上市，第二批1500亩年底上市，第三批1000亩3月份上市，鱼塘设施齐全，条件好，适合养殖鱼虾，无转让费，不控饲料，欢迎来电咨询，实地考察","82.56","水产养殖、牲畜饲养、休闲农业","一般","良","一般","优","一般"
"株洲天元区900亩耕地-旱地出租","土地编码:T545828 更新时间:2018-10-21 19:38:05 188 次查看","","","","","","","湖南/株洲/天元区","玉米 姜 黄豆 红薯 西瓜 油菜 辣椒 白菜 黄瓜 小米","该土地位于湖南株洲，土地性质为耕地，面积：900亩，价格为：500元/亩/年，可流转20年；","88.46","经济作物种植、粮油种植、休闲农业","一般","优","一般","优","优"
"白城大安市750亩盐碱，其中300亩水面，入股","土地编码:T562425 更新时间:2018-10-21 19:26:42 4 次查看","","","","","","","吉林/白城/大安市","","该土地位于吉林白城，土地性质为其它用地，面积：750亩，价格为：面议，可流转23年；","","","","","","",""
"北京顺义区 20亩 果园 转让","土地编码：101181 更新时间：2018-10-21 19:19:39 139 次查看","498","万元","园地|果园","20 年","转让","20 亩","北京/顺义区","","休闲娱乐好住处，可种植可采摘可钓鱼，还有6套客房，酒吧，餐厅，台球都有。","79.88","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
"海南乐东黎族自治县300亩果园转让","土地编码：107490 更新时间：2018-10-21 19:16:21 20 次查看","100","万元","园地|果园","30 年","转让","300 亩","海南/乐东黎族自治县","","300亩火龙果、槟榔地转让，设备期限，水路电通，详情电话咨询","82.91","经济作物种植、林木种植、休闲农业","良","优","一般","一般","一般"
"白城大安市300亩水田出租","土地编码:T562423 更新时间:2018-10-21 18:43:24 8 次查看","","","","","","","吉林/白城/大安市","水稻","该土地位于吉林白城，土地性质为耕地，面积：300亩，价格为：400元/亩/年，可流转1年；","82.89","经济作物种植、水稻种植、休闲农业","一般","良","一般","一般","优"
"鸡西虎林市 100亩 水田 出租","土地编码:T515542 更新时间:2018-10-21 18:42:32 620 次查看","","","","","","","黑龙江/鸡西/虎林市","水稻","地势平坦，  土质肥沃；  交通便利\r\n地理位置优越，租期面议，价格面议\r\n东北纯正黑土地，光照充足， 环境优美\r\n电井灌溉， 地块方正， 100亩一块地 我们真实的对外出租<U+FFFD>","81.96","经济作物种植、水稻种植、休闲农业","优","良","一般","一般","优"
"湖州南浔区 51亩 水产养殖用地 转让","土地编码:T558099 更新时间:2018-10-21 18:29:52 237 次查看","","","","","","","浙江/湖州/南浔区","鱼 龙虾 对虾 河蟹 牛蛙","51亩鱼塘（鲈鱼养殖场）转让，生活用房有琉璃瓦自建平房4间（150平方），养殖用设备设施齐全，双面水泥灌溉沟渠贯通全场，尾水处理系统合格，电力系统全面（含备用发电设施一套），交通便捷，转让价格25万（不含租金）不需再投资任何固定资产，拎包即可开展养殖收益。现养殖场目前正在生产中，因家人精力有限，诚心转让，联系人：丁女士","76.76","水产养殖、牲畜饲养、休闲农业","一般","良","一般","一般","优"
"海南澄迈县 50亩 荒地 转让","土地编码:T562320 更新时间:2018-10-21 18:24:11 4 次查看","","","","","","","海南/澄迈县","","该土地位于海南澄迈县，土地性质为其它用地，面积：50亩，价格为：188万元，可流转34年；离县城9公里水泥路水路电三通，手续齐全，非诚勿扰","","","","","","",""
"邵阳隆回县200亩水田出租","土地编码：107483 更新时间：2018-10-21 18:03:11 8 次查看","260","元/亩/年","耕地|水田","20 年","出租","200 亩","湖南/邵阳/隆回县","","梯田状，水利条件充足，通电路…建议种植","79.25","经济作物种植、水稻种植、休闲农业","良","优","一般","一般","一般"
"邵阳隆回县100亩水田出租","土地编码：107484 更新时间：2018-10-21 18:02:30 4 次查看","500","元/亩/年","耕地|水田","20 年","出租","100 亩","湖南/邵阳/隆回县","","土地平整，机耕道，水渠的设施完善，水源充足…建议水产养殖","78.5","经济作物种植、水稻种植、休闲农业","良","优","一般","一般","一般"
"邵阳新邵县145亩水田出租","土地编码：107485 更新时间：2018-10-21 18:02:18 16 次查看","面议","","耕地|水田","20 年","出租","145 亩","湖南/邵阳/新邵县","","梯改田，四季水源充足，交通便利","78.36","经济作物种植、水稻种植、休闲农业","良","良","一般","一般","一般"
"百色田林县 500亩 矿山用地 入股","土地编码:T560424 更新时间:2018-10-21 18:01:16 63 次查看","","","","","","","广西/百色/田林县","","新成立，大型采石场，征地及开采手续全部办齐，进场马上可以生产的，镇上只有我们一家石场，有固定销售渠道，主要是针对工业园搅拌站及镇上周边建筑工地，因缺生产，技改资金运作，寻找有经济实力的人士携手合作共同牟利，有意者联系胡，非诚勿扰！","","","","","","",""
"福州晋安区 5亩 农场 出租","土地编码:T561296 更新时间:2018-10-21 17:54:06 151 次查看","","","","","","","福建/福州/晋安区","鸡","该土地位于福建福州，土地性质为养殖用地，面积：5亩，价格为：面议，可流转30年；","77.79","牲畜饲养、休闲农业、生态农场","良","良","一般","一般","一般"
"运城新绛县1500平米厂房出租","土地编码：107482 更新时间：2018-10-21 17:53:11 6 次查看","8","元/平米/月","工矿仓储|厂房","5 年","出租","1500 平米","山西/运城/新绛县","","有厂房1500平米，外有厂院2亩，已硬化，可以做轻纺加工车间，仓库等。","","","","","","",""
"巴中巴州区121亩综合养殖用地转让","土地编码:T555235 更新时间:2018-10-21 17:49:08 375 次查看","","","","","","","四川/巴中/巴州区","","包含水库、小龙虾泥鳅养殖池、以及果园。合作社成立三年，农村土地流转经营权证、农业标准化基地用益物权证、农业特色产业所有权证三证齐全。也可合作。","82.92","牲畜饲养、休闲农业、生态农场","一般","良","良","一般","优"
"湖州长兴县600亩水产养殖用地出租","土地编码：103838 更新时间：2018-10-21 17:39:17 267 次查看","1300","元/亩/年","养殖用地|水产养殖用地","20 年","出租","600 亩","浙江/湖州/长兴县","鱼 河蟹 牛蛙 龙虾 对虾","600亩水田出租，也可小面积出租！可用做水产养殖，地段优越，紧靠国道。距离物流园区仅两公里。直接村里拿地，解决后顾之忧。","82","水产养殖、牲畜饲养、休闲农业","良","良","一般","良","一般"
"黄冈蕲春县种芡实、养龙虾、种莲藕的2000亩湖泊出租","土地编码：103347 更新时间：2018-10-21 17:38:53 280 次查看","500","元/亩/年","水域|湖泊","10 年","出租","2000 亩","湖北/黄冈/蕲春县","","此地块水源充足，交通便利，水深约3米，底部较平，湖底淤泥约80公分，适宜养芡实、莲藕、螃蟹、龙虾和鱼等。","86.35","水产养殖、休闲农业、生态农场","良","优","良","优","一般"
"黄冈麻城市5A风景区1600亩村庄有林地转让","土地编码：56516 更新时间：2018-10-21 17:33:17 2006 次查看","265","万元","林地|有林地","50 年","转让","1600 亩","湖北/黄冈/麻城市","鸡 竹 山羊 松树","山林总面积1600余亩，山上树的密度达每亩两百棵左右，百分之八十为松树，百分之二十为杂树，从十公分到三十多公分粗的占百分之五十以上，板栗树六百多棵。其中田地近三百亩，大小鱼塘十多个，60余亩水库一个，竹林五片，破旧老房屋十多栋，周边地界已砍伐清晰，边界明晰，一次性卖断五十年，可以分割卖，也可以合作经营，一次性付款。位置在湖北麻城市龟峰山旅游区（国家5A级景区）附近，也是中央电视台“人间四月天，麻城看杜鹃”的地方，在市区去景区的必经之路边，也是309省道边，山的中心点离公路一公里左右。适合开发休闲农业、田园综合体、家庭共享农场、养老产业和旅游项目。","93.99","经济作物种植、林木种植、休闲农业","良","优","良","优","优"
"黄冈黄梅县500亩农庄林地转让","土地编码：104670 更新时间：2018-10-21 17:33:06 218 次查看","面议","","林地|灌木林地","30 年","转让","500 亩","湖北/黄冈/黄梅县","","此地块有2口水塘，建有生活用房100余平方，鸭棚200余平方，羊棚500余平方，鸡棚700余平方。电和自来水已接通，还打了一口水井，水泥路直达，交通方便。","87.31","经济作物种植、林木种植、休闲农业","良","良","良","良","优"
"黄冈黄梅县12亩养鹅、养鸭、养鱼林地出租","土地编码：70853 更新时间：2018-10-21 17:32:32 818 次查看","面议","","林地|其它林地","20 年","出租","12 亩","湖北/黄冈/黄梅县","","该地块有一口6余亩的水塘，6余亩的田地，适合养鱼，养鹅，养鸭。","81.8","经济作物种植、林木种植、休闲农业","良","良","一般","一般","优"
